address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
5909 Freeport Way,Columbia,MO,65201,165000,1530.0,4.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/5909-Freeport-Way-Columbia-MO-65201/83035067_zpid/
7301 Rudchester Dr,Columbia,MO,65203,637000,3601.0,5.0,4.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/7301-Rudchester-Dr-Columbia-MO-65203/2092496991_zpid/
3914 Clydesdale Dr,Columbia,MO,65202,182900,1473.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/3914-Clydesdale-Dr-Columbia-MO-65202/2092207751_zpid/
201 Hirth Ave,Columbia,MO,65203,90000,955.0,2.0,1.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/201-Hirth-Ave-Columbia-MO-65203/58700968_zpid/
12 Aldeah Ave,Columbia,MO,65203,185000,1229.0,3.0,1.0,NA,For Sale by Owner,http://www.zillow.com/homes/for_sale//homedetails/12-Aldeah-Ave-Columbia-MO-65203/58701483_zpid/
4804 Alcott Dr,Columbia,MO,65202,156900,1526.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/4804-Alcott-Dr-Columbia-MO-65202/58693645_zpid/
615 Portsmouth Dr,Columbia,MO,65202,159900,2074.0,4.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/615-Portsmouth-Dr-Columbia-MO-65202/58698290_zpid/
110 W Forest Ave,Columbia,MO,65203,85000,880.0,0,NA,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/110-W-Forest-Ave-Columbia-MO-65203/58699789_zpid/
2137 E Northwood Dr,Columbia,MO,65202,159900,2174.0,4.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2137-E-Northwood-Dr-Columbia-MO-65202/58692800_zpid/
1811 Bluff Pointe Dr,Columbia,MO,65201,314900,3750.0,4.0,4.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1811-Bluff-Pointe-Dr-Columbia-MO-65201/58718526_zpid/
